column,min,max,width,hidden,best_fit,outline_level,collapsed,style_id,custom_width
IKR,6388,6628,9.21875,False,False,0,False,169,True
ITY,6629,6629,2.77734375,False,False,0,False,169,True
ITZ,6630,6630,7.21875,False,False,0,False,169,True
IUA,6631,6631,23.77734375,False,False,0,False,169,True
IUB,6632,6632,17.21875,False,False,0,False,169,True
IUC,6633,6633,15.0,False,False,0,False,169,True
IUD,6634,6634,18.77734375,False,True,0,False,169,True
IUE,6635,6635,15.21875,False,False,0,False,169,True
IUF,6636,6636,9.77734375,False,False,0,False,169,True
IUG,6637,6637,41.21875,False,False,0,False,169,True
IUH,6638,6638,41.44140625,False,False,0,False,169,True
IUI,6639,6640,22.44140625,False,False,0,False,169,True
IUK,6641,6641,30.44140625,False,False,0,False,169,True
IUL,6642,6642,33.21875,False,False,0,False,169,True
IUM,6643,6643,21.21875,False,False,0,False,169,True
IUN,6644,6884,9.21875,False,False,0,False,169,True
JDU,6885,6885,2.77734375,False,False,0,False,169,True
JDV,6886,6886,7.21875,False,False,0,False,169,True
JDW,6887,6887,23.77734375,False,False,0,False,169,True
JDX,6888,6888,17.21875,False,False,0,False,169,True
JDY,6889,6889,15.0,False,False,0,False,169,True
JDZ,6890,6890,18.77734375,False,True,0,False,169,True
JEA,6891,6891,15.21875,False,False,0,False,169,True
JEB,6892,6892,9.77734375,False,False,0,False,169,True
JEC,6893,6893,41.21875,False,False,0,False,169,True
JED,6894,6894,41.44140625,False,False,0,False,169,True
JEE,6895,6896,22.44140625,False,False,0,False,169,True
JEG,6897,6897,30.44140625,False,False,0,False,169,True
JEH,6898,6898,33.21875,False,False,0,False,169,True
JEI,6899,6899,21.21875,False,False,0,False,169,True
JEJ,6900,7140,9.21875,False,False,0,False,169,True
JNQ,7141,7141,2.77734375,False,False,0,False,169,True
JNR,7142,7142,7.21875,False,False,0,False,169,True
JNS,7143,7143,23.77734375,False,False,0,False,169,True
JNT,7144,7144,17.21875,False,False,0,False,169,True
JNU,7145,7145,15.0,False,False,0,False,169,True
JNV,7146,7146,18.77734375,False,True,0,False,169,True
JNW,7147,7147,15.21875,False,False,0,False,169,True
JNX,7148,7148,9.77734375,False,False,0,False,169,True
JNY,7149,7149,41.21875,False,False,0,False,169,True
JNZ,7150,7150,41.44140625,False,False,0,False,169,True
JOA,7151,7152,22.44140625,False,False,0,False,169,True
JOC,7153,7153,30.44140625,False,False,0,False,169,True
JOD,7154,7154,33.21875,False,False,0,False,169,True
JOE,7155,7155,21.21875,False,False,0,False,169,True
JOF,7156,7396,9.21875,False,False,0,False,169,True
JXM,7397,7397,2.77734375,False,False,0,False,169,True
JXN,7398,7398,7.21875,False,False,0,False,169,True
JXO,7399,7399,23.77734375,False,False,0,False,169,True
JXP,7400,7400,17.21875,False,False,0,False,169,True
JXQ,7401,7401,15.0,False,False,0,False,169,True
JXR,7402,7402,18.77734375,False,True,0,False,169,True
JXS,7403,7403,15.21875,False,False,0,False,169,True
JXT,7404,7404,9.77734375,False,False,0,False,169,True
JXU,7405,7405,41.21875,False,False,0,False,169,True
JXV,7406,7406,41.44140625,False,False,0,False,169,True
JXW,7407,7408,22.44140625,False,False,0,False,169,True
JXY,7409,7409,30.44140625,False,False,0,False,169,True
JXZ,7410,7410,33.21875,False,False,0,False,169,True
JYA,7411,7411,21.21875,False,False,0,False,169,True
JYB,7412,7652,9.21875,False,False,0,False,169,True
KHI,7653,7653,2.77734375,False,False,0,False,169,True
KHJ,7654,7654,7.21875,False,False,0,False,169,True
KHK,7655,7655,23.77734375,False,False,0,False,169,True
KHL,7656,7656,17.21875,False,False,0,False,169,True
KHM,7657,7657,15.0,False,False,0,False,169,True
KHN,7658,7658,18.77734375,False,True,0,False,169,True
KHO,7659,7659,15.21875,False,False,0,False,169,True
KHP,7660,7660,9.77734375,False,False,0,False,169,True
KHQ,7661,7661,41.21875,False,False,0,False,169,True
KHR,7662,7662,41.44140625,False,False,0,False,169,True
KHS,7663,7664,22.44140625,False,False,0,False,169,True
KHU,7665,7665,30.44140625,False,False,0,False,169,True
KHV,7666,7666,33.21875,False,False,0,False,169,True
KHW,7667,7667,21.21875,False,False,0,False,169,True
KHX,7668,7908,9.21875,False,False,0,False,169,True
KRE,7909,7909,2.77734375,False,False,0,False,169,True
KRF,7910,7910,7.21875,False,False,0,False,169,True
KRG,7911,7911,23.77734375,False,False,0,False,169,True
KRH,7912,7912,17.21875,False,False,0,False,169,True
KRI,7913,7913,15.0,False,False,0,False,169,True
KRJ,7914,7914,18.77734375,False,True,0,False,169,True
KRK,7915,7915,15.21875,False,False,0,False,169,True
KRL,7916,7916,9.77734375,False,False,0,False,169,True
KRM,7917,7917,41.21875,False,False,0,False,169,True
KRN,7918,7918,41.44140625,False,False,0,False,169,True
KRO,7919,7920,22.44140625,False,False,0,False,169,True
KRQ,7921,7921,30.44140625,False,False,0,False,169,True
KRR,7922,7922,33.21875,False,False,0,False,169,True
KRS,7923,7923,21.21875,False,False,0,False,169,True
KRT,7924,8164,9.21875,False,False,0,False,169,True
LBA,8165,8165,2.77734375,False,False,0,False,169,True
LBB,8166,8166,7.21875,False,False,0,False,169,True
LBC,8167,8167,23.77734375,False,False,0,False,169,True
LBD,8168,8168,17.21875,False,False,0,False,169,True
LBE,8169,8169,15.0,False,False,0,False,169,True
LBF,8170,8170,18.77734375,False,True,0,False,169,True
LBG,8171,8171,15.21875,False,False,0,False,169,True
LBH,8172,8172,9.77734375,False,False,0,False,169,True
LBI,8173,8173,41.21875,False,False,0,False,169,True
LBJ,8174,8174,41.44140625,False,False,0,False,169,True
LBK,8175,8176,22.44140625,False,False,0,False,169,True
